id,product_id,name,value,printful_variant_id,price,in_stock,is_available,color,color_hex,design,size,created_at,updated_at,color_name,color_hex_code,size_name
8b978ca6-f23e-4f84-9e83-458bc9fdc11d,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Mauve / 2XL,Mauve-2XL,4938821336,24.99,true,true,Mauve,#bf6e6e,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Mauve,,2XL
8e9e0351-2245-4bf1-9c2e-28df734a0fa7,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / White / L,White-L,4938797562,39.99,true,true,White,#ffffff,,L,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,White,,L
8fc64750-a4db-4a29-98ef-b1f8a213ca66,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Mauve / XL,Mauve-XL,4938821335,24.99,true,true,Mauve,#bf6e6e,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Mauve,,XL
91f8003a-cdf0-49b5-98e5-0b4cdad6ba48,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Yellow / L,Yellow-L,4938814150,24.99,true,true,Yellow,#ffd667,,L,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Yellow,,L
949bfa63-4ebc-4b3c-91da-de3b92163f3a,1c0a9021-d98a-4e0e-8069-4e2f362abbbb,Reform UK Sticker,White-3″×3″,4938952082,2.99,true,true,White,#FFFFFF,,3″×3″,2025-09-01 03:58:55.772141+00,2025-09-01 03:58:55.772141+00,White,,3″×3″
98287693-a561-45a1-b861-9266c7d298ec,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black Heather / XL,Black Heather-XL,4938821285,24.99,true,true,Black Heather,#0b0b0b,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black Heather,,XL
9989be92-c8b7-440f-800f-da11f43e9e8b,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Army / 2XL,Army-2XL,4938821316,24.99,true,true,Army,#5f5849,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Army,,2XL
9ad3c1e5-2bac-41d6-a725-b32f017781b8,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Ash / M,Ash-M,4938814159,24.99,true,true,Ash,#f0f1ea,,M,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Ash,,M
9c1cca33-3bba-4ab6-85cd-0ba9e48c3130,29b2e16a-39e8-4322-aaf1-0529b3973212,Reform UK Cap / Stone,Stone-One Size,4938937575,19.99,true,true,Stone,#d6bdad,,One Size,2025-09-01 03:59:02.060257+00,2025-09-02 04:57:36.088816+00,Stone,,One Size
9d0ab649-a452-458d-92f2-4b9f2cc179ef,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Blue / 2XL,Light Blue-2XL,4938797554,39.99,true,true,Light Blue,#a1c5e1,,2XL,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Blue,,2XL
9d366d75-3481-4d5f-aaa7-1fb29d5a3291,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Black / S,Black-S,4938800533,39.99,true,true,Black,#0b0b0b,,S,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Black,,S
9ebaa66a-299c-40e5-bbd0-34b8d73ae11e,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Steel Blue / L,Steel Blue-L,4938821339,24.99,true,true,Steel Blue,#668ea7,,L,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Steel Blue,,L
9f0c4f2a-1c02-4bb9-8731-d1b898e1cc2b,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Red / M,Red-M,4938821298,24.99,true,true,Red,#d0071e,,M,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Red,,M
a053b4e6-81f5-4d00-a185-a6d95c2b8911,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Black / 2XL,Black-2XL,4938800537,39.99,true,true,Black,#0b0b0b,,2XL,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Black,,2XL
a14e1f21-da07-4960-86bb-45bd637e5d74,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Ash / 2XL,Ash-2XL,4938814162,24.99,true,true,Ash,#f0f1ea,,2XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Ash,,2XL
a3004b6f-2258-46c3-a554-e0c12de293aa,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Pink / XL,Pink-XL,4938814141,24.99,true,true,Pink,#fdbfc7,,XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Pink,,XL
acfd9115-816f-41f5-a53b-48c37fbd4fb5,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Mustard / L,Mustard-L,4938814130,24.99,true,true,Mustard,#eda027,,L,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Mustard,,L
ad10acdc-c191-4904-9f53-93b83b9ecc74,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Dark Heather / 2XL,Dark Heather-2XL,4938800552,39.99,true,true,Dark Heather,#47484d,,2XL,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Dark Heather,,2XL
adff7a2f-e42e-410f-a952-34467f62060e,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Navy / M,Navy-M,4938800539,39.99,true,true,Navy,#131928,,M,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Navy,,M
ae9c61c0-82a1-416b-a35c-6017951b774b,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / White / XL,White-XL,4938814166,24.99,true,true,White,#ffffff,,XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,White,,XL
aeff3733-2eef-4264-8bbb-d123e923d3ae,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Athletic Heather / S,Athletic Heather-S,4938814143,24.99,true,true,Athletic Heather,#cececc,,S,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Athletic Heather,,S
b00d50cf-686b-4968-9550-a71d18d0329c,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Red / 2XL,Red-2XL,4938800547,39.99,true,true,Red,#da0a1a,,2XL,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Red,,2XL
b02b9905-2554-4c6f-8d1d-7fdcec8bac38,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Dark Grey Heather / S,Dark Grey Heather-S,4938821302,24.99,true,true,Dark Grey Heather,#3E3C3D,,S,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Dark Grey Heather,,S
b0e9082b-44fd-4a5a-b25c-172d0039f437,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Red / M,Red-M,4938800544,39.99,true,true,Red,#da0a1a,,M,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Red,,M
b11d58b6-515f-4528-81b1-550e2613e9c5,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Pink / 2XL,Pink-2XL,4938814142,24.99,true,true,Pink,#fdbfc7,,2XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Pink,,2XL
b30c3c8c-3932-49cd-b881-ee747471a4b4,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Black / L,Black-L,4938800535,39.99,true,true,Black,#0b0b0b,,L,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Black,,L
b36c1df9-5327-49f1-8a2b-90bc5fb3502e,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Ash / L,Ash-L,4938814160,24.99,true,true,Ash,#f0f1ea,,L,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Ash,,L
b58e297e-3af1-40d3-ab81-74c02d59f216,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Black / XL,Black-XL,4938800536,39.99,true,true,Black,#0b0b0b,,XL,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Black,,XL
b5dae4b8-4356-458b-9b0d-e7b73347c198,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Red / S,Red-S,4938800543,39.99,true,true,Red,#da0a1a,,S,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Red,,S
b61f869f-7cba-4303-b2d3-f4a0159655d3,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Red / 2XL,Red-2XL,4938821301,24.99,true,true,Red,#d0071e,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Red,,2XL
b69bc13e-eba9-4fea-b89a-dafa2dc2bf34,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Navy / XL,Navy-XL,4938821295,24.99,true,true,Navy,#212642,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Navy,,XL
b71d0bca-b17c-4471-b6f8-cf8d486b5336,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Navy / L,Navy-L,4938800540,39.99,true,true,Navy,#131928,,L,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Navy,,L
b9096596-856b-4215-8c7e-fe81c0f3700d,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Mauve / M,Mauve-M,4938821333,24.99,true,true,Mauve,#bf6e6e,,M,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Mauve,,M
b9d57f48-ccc6-4d06-ad41-09d0a2d632d8,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Blue / L,Light Blue-L,4938797552,39.99,true,true,Light Blue,#a1c5e1,,L,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Blue,,L
bb5417ab-554b-4881-8166-fc4e821d8e24,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black Heather / 2XL,Black Heather-2XL,4938821286,24.99,true,true,Black Heather,#0b0b0b,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black Heather,,2XL
bbe702ab-fe1a-4246-91bb-b36f6ff0e8e4,48341979-9106-4d56-b71a-732c41f7aa6e,Reform UK Mouse Pad,"White-8.7""x7.1""",4938942751,14.99,true,true,White,#FFFFFF,,"8.7""x7.1""",2025-09-01 03:58:56.803713+00,2025-09-01 03:58:56.803713+00,White,,"8.7""x7.1"""
bcbf59c1-8001-4675-8158-cb728449038a,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Sport Grey / L,Sport Grey-L,4938797547,39.99,true,true,Sport Grey,#9b969c,,L,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Sport Grey,,L
bd4162c2-c376-4c8d-9e98-4e05c0bafc48,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Autumn / 2XL,Autumn-2XL,4938821326,24.99,true,true,Autumn,#c85313,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Autumn,,2XL
c2a0c19c-68b0-4491-a4e4-2936c5367414,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Heather Dust / L,Heather Dust-L,4938814155,24.99,true,true,Heather Dust,#e5d9c9,,L,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Heather Dust,,L
c368af4b-fce0-46df-a836-5c2d1d5133f3,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Mustard / XL,Mustard-XL,4938814131,24.99,true,true,Mustard,#eda027,,XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Mustard,,XL
c9ca51d9-fd8f-4dce-8229-2f8726d6ed71,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Olive / 2XL,Olive-2XL,4938821321,24.99,true,true,Olive,#5b642f,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Olive,,2XL
ce03f357-02f1-4a5d-bf23-b1fe927d93bd,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Dark Heather / M,Dark Heather-M,4938800549,39.99,true,true,Dark Heather,#47484d,,M,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Dark Heather,,M
ce253167-d898-4588-86a0-26f5f2894943,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Autumn / L,Autumn-L,4938821324,24.99,true,true,Autumn,#c85313,,L,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Autumn,,L
cefa14a9-b37e-42d7-b476-7bdb4f494ea7,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Heather Dust / M,Heather Dust-M,4938814154,24.99,true,true,Heather Dust,#e5d9c9,,M,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Heather Dust,,M
cf1a04a3-64e3-4290-b322-5e7cd5f4ed0a,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Red / XL,Red-XL,4938800546,39.99,true,true,Red,#da0a1a,,XL,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Red,,XL
d06a6e3e-11cc-4ae9-8a32-76c7d1dc18d5,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black / 2XL,Black-2XL,4938821291,24.99,true,true,Black,#0c0c0c,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black,,2XL
d1d1d35e-5f00-4be6-879e-24d4dbb5bd93,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Heather Dust / XL,Heather Dust-XL,4938814156,24.99,true,true,Heather Dust,#e5d9c9,,XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Heather Dust,,XL
d3cda740-851b-4c8c-8edc-2580acc21830,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / White / M,White-M,4938814164,24.99,true,true,White,#ffffff,,M,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,White,,M
d47f698f-8583-41b5-b0a9-5410feb471d2,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / White / 2XL,White-2XL,4938797564,39.99,true,true,White,#ffffff,,2XL,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,White,,2XL
d4809f3c-b58b-46bc-a11d-aa8f612605f8,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Pink / M,Pink-M,4938814139,24.99,true,true,Pink,#fdbfc7,,M,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Pink,,M
d73cdc47-a9f5-41d8-bc97-e694f6c423c2,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Blue / S,Light Blue-S,4938797550,39.99,true,true,Light Blue,#a1c5e1,,S,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Blue,,S
d79a6a24-292f-404d-aabb-956933a44721,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black / M,Black-M,4938821288,24.99,true,true,Black,#0c0c0c,,M,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black,,M
d8817162-6ce3-4566-a122-4d57e48034e0,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Dark Heather / L,Dark Heather-L,4938800550,39.99,true,true,Dark Heather,#47484d,,L,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Dark Heather,,L
dd8d2247-7cfe-4438-8cbe-2742f0c96dcd,29b2e16a-39e8-4322-aaf1-0529b3973212,Reform UK Cap / White,White-One Size,4938937578,19.99,true,true,White,#ffffff,,One Size,2025-09-01 03:59:02.060257+00,2025-09-02 04:57:36.088816+00,White,,One Size
de346755-c9b9-4d83-848e-88bfe5522d6d,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Red / L,Red-L,4938821299,24.99,true,true,Red,#d0071e,,L,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Red,,L
deef0391-ab7a-42c4-b8f0-1602a3fb5164,103b8eaf-4ef5-44a1-9c9e-f49c8367f220,Reform UK Tote Bag,Black-One Size,4937855201,24.99,true,true,Black,#000000,,One Size,2025-09-01 03:59:49.28585+00,2025-09-01 03:59:49.28585+00,Black,,One Size
df77aa1b-9ee9-4cc2-8304-e3a2797a9e92,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Dark Grey Heather / XL,Dark Grey Heather-XL,4938821305,24.99,true,true,Dark Grey Heather,#3E3C3D,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Dark Grey Heather,,XL
e056623a-9232-482f-b253-6e08e59a61a4,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / White / 2XL,White-2XL,4938814167,24.99,true,true,White,#ffffff,,2XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,White,,2XL
e27fd5c1-1c44-4065-ba8e-7eb824d28ca0,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Red / S,Red-S,4938821297,24.99,true,true,Red,#d0071e,,S,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Red,,S
e2a613a7-252b-4387-8484-5acfca048be8,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Indigo Blue / 2XL,Indigo Blue-2XL,4938800557,39.99,true,true,Indigo Blue,#395d82,,2XL,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Indigo Blue,,2XL
e3ee6495-e02f-4832-bafa-431fef0c71c5,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Dark Heather / S,Dark Heather-S,4938800548,39.99,true,true,Dark Heather,#47484d,,S,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Dark Heather,,S
e925f1c2-4a9b-4197-9e0f-92e21fcfb622,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Red / L,Red-L,4938800545,39.99,true,true,Red,#da0a1a,,L,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Red,,L
e9a4c635-06ec-40d7-adb7-b6fc14525f49,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black Heather / S,Black Heather-S,4938821282,24.99,true,true,Black Heather,#0b0b0b,,S,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black Heather,,S
ec39e10b-f625-4513-9dc6-0f7b94f813ca,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Steel Blue / M,Steel Blue-M,4938821338,24.99,true,true,Steel Blue,#668ea7,,M,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Steel Blue,,M
ecb1bed3-649c-4c29-99b4-4d9322b974b3,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Blue / XL,Light Blue-XL,4938797553,39.99,true,true,Light Blue,#a1c5e1,,XL,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Blue,,XL
eea8eca3-1cb6-4e9b-9956-78f04a0a809a,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black Heather / L,Black Heather-L,4938821284,24.99,true,true,Black Heather,#0b0b0b,,L,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black Heather,,L
ef1c59f5-1101-4be4-b518-6abe12773b63,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Asphalt / 2XL,Asphalt-2XL,4938821311,24.99,true,true,Asphalt,#52514f,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Asphalt,,2XL
ef2d6021-5a18-47b4-9f86-4410121ddd10,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Pink / 2XL,Light Pink-2XL,4938797559,39.99,true,true,Light Pink,#f3d4e3,,2XL,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Pink,,2XL
f20dbfad-79c7-4df6-ab28-19411690784d,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Athletic Heather / L,Athletic Heather-L,4938814145,24.99,true,true,Athletic Heather,#cececc,,L,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Athletic Heather,,L
f260db20-2573-4507-bbf1-6bbe79b80f03,2e7c2ccd-9b4e-413e-aac6-d2be53db9663,Reform UK Water Bottle,White-32 oz,4938941055,24.99,true,true,White,#FFFFFF,,32 oz,2025-09-01 03:59:51.681686+00,2025-09-01 03:59:51.681686+00,White,,32 oz
f26f2e9b-71cb-46a7-bbad-4069ccb90446,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Steel Blue / 2XL,Steel Blue-2XL,4938821341,24.99,true,true,Steel Blue,#668ea7,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Steel Blue,,2XL
f3fae612-c8aa-43cc-bbdd-6460fb47b90e,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Indigo Blue / S,Indigo Blue-S,4938800553,39.99,true,true,Indigo Blue,#395d82,,S,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Indigo Blue,,S
f45cb40b-0fc3-4c9f-bf4f-908c780e1530,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Mustard / 2XL,Mustard-2XL,4938814132,24.99,true,true,Mustard,#eda027,,2XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Mustard,,2XL
f64fdaaa-2268-4c79-b2f6-ea86edbd20df,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Pink / S,Pink-S,4938814138,24.99,true,true,Pink,#fdbfc7,,S,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Pink,,S
f727a7dd-b9c6-4f9a-95bf-7073a887e9f2,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Heather Prism Peach / S,Heather Prism Peach-S,4938814133,24.99,true,true,Heather Prism Peach,#f3c2b2,,S,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Heather Prism Peach,,S
f816ef24-aa93-459c-a722-ae809b93fe4a,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Mustard / M,Mustard-M,4938814129,24.99,true,true,Mustard,#eda027,,M,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Mustard,,M
f865121b-0c61-4951-9dba-653c007c41ca,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Red / XL,Red-XL,4938821300,24.99,true,true,Red,#d0071e,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Red,,XL
f8c708ff-1fb1-45b4-8398-f3ec17f61bb4,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Navy / L,Navy-L,4938821294,24.99,true,true,Navy,#212642,,L,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Navy,,L
fa34616c-14b1-4a0a-9aff-396936785038,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Pink / L,Light Pink-L,4938797557,39.99,true,true,Light Pink,#f3d4e3,,L,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Pink,,L
fbfa9884-9106-46c7-8024-84cd8999d577,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black / S,Black-S,4938821287,24.99,true,true,Black,#0c0c0c,,S,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black,,S
fc07ec58-3343-471f-b608-6baa4eb23611,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Mauve / L,Mauve-L,4938821334,24.99,true,true,Mauve,#bf6e6e,,L,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Mauve,,L